DistrictID,DistrictName,StateID,Active
DIST0001,Bagalkot,ST01,1
DIST0002,Ballari,ST01,1
DIST0003,Belagavi,ST01,1
DIST0004,Bengaluru Rural,ST01,1
DIST0005,Bengaluru Urban,ST01,1
DIST0006,Bidar,ST01,1
DIST0007,Chamarajanagar,ST01,1
DIST0008,Chikkaballapur,ST01,1
DIST0009,Chikkamagaluru,ST01,1
DIST0010,Chitradurga,ST01,1
DIST0011,Dakshina Kannada,ST01,1
DIST0012,Davanagere,ST01,1
DIST0013,Dharwad,ST01,1
DIST0014,Gadag,ST01,1
DIST0015,Hassan,ST01,1
DIST0016,Haveri,ST01,1
DIST0017,Kalaburagi,ST01,1
DIST0018,Kodagu,ST01,1
DIST0019,Kolar,ST01,1
DIST0020,Koppal,ST01,1
DIST0021,Mandya,ST01,1
DIST0022,Mysuru,ST01,1
DIST0023,Raichur,ST01,1
DIST0024,Ramanagara,ST01,1
DIST0025,Shivamogga,ST01,1
DIST0026,Tumakuru,ST01,1
DIST0027,Udupi,ST01,1
DIST0028,Uttara Kannada,ST01,1
DIST0029,Vijayapura,ST01,1
DIST0030,Yadgir,ST01,1
DIST0031,Vijayanagara,ST01,1
